Month,SensorName,Snow Water Equivalent (in),Precipitation Accumulation (in)
4,Grouse Camp,16.6439784946,26.4306451613
4,Hart's Pass,43.7014285714,41.38
4,Huckleberry,0.517894736842,34.2033333333
4,June Lake,43.213463324,122.902414113
4,Lone Pine,36.0394898857,76.0316622691
4,Lost Horse,15.05625,27.6659926471
4,Lyman Lake,61.0407070707,62.6061616162
4,Meadows Pass,23.1746376812,77.1313043478
4,Morse Lake,52.9860952381,68.1365686275
4,Moses Mountain,13.7716,18.8865333333
4,Mount Crag,28.4750617284,61.3958024691
4,Mount Gardner,11.9446376812,80.5310144928
4,Mowich,0.803888888889,41.39
4,Olallie Meadows,53.438,96.8017142857
4,Paradise ,71.3880952381,92.4507619048
4,Park Creek Ridge,42.5980701754,57.5312280702
4,Pigtail Peak,53.754,66.7383809524
4,Pope Ridge,11.9520952381,29.3403921569
4,Potato Hill,17.7677777778,35.406
4,Quartz Peak,17.7677777778,35.406
4,Rex River,33.0834920635,85.95
4,Salmon Meadows,6.73784313725,14.331372549
4,Sasse Ridge,31.7649494949,48.848989899
4,Sheep Canyon,38.8902597403,97.9918367347
4,Skookum Creek,35.7274603175,108.232857143
4,Spencer Meadow,29.5364661654,78.5690248566
4,Spirit Lake,4.06041666667,71.9919354839
4,Stampede Pass,39.4861764706,71.4399019608
4,Surprise Lakes,44.9929824561,79.8544337138
4,Swamp Creek,12.5896078431,33.8521568627
4,Thunder Basin,27.9082853855,54.5170310702
4,Tinkham Creek,25.2024637681,84.46
4,Touchet,29.3811428571,43.3400952381
4,Trough,7.67771929825,20.7623684211
4,Upper Wheeler,10.2232380952,20.7052380952
4,Waterhole,37.7966666667,60.0221568627
4,Wells Creek,32.5928571429,65.089047619
4,White Pass ES,21.4860185185,36.5669444444
5,Alpine Meadows,45.0754518072,136.97806354
5,Blewett Pass,0.712183692596,30.574601687
5,Bumping Ridge,19.1581102362,51.1998425197
5,Bunchgrass Meadow,17.8034155598,40.4521821632
5,Burnt Mountain,10.0776031434,61.9583497053
5,Corral Pass,30.6724137931,51.3163515017
5,Cougar Mountain,6.05164011246,81.5428571429
5,Dungeness,2.83789279113,40.5574861368
5,Elbow Lake,22.4503154574,124.591153239
5,Fish Lake,13.8472650771,55.9144460028
5,Green Lake,11.8924731183,29.9010752688
5,Grouse Camp,5.56847034339,28.3822060354
5,Hart's Pass,37.8037488285,44.1747104247
5,Huckleberry,1.06486013986,37.0674255692
5,June Lake,31.69488117,131.271297989
5,Lone Pine,29.2037931034,80.8799137931
5,Lost Horse,3.40392156863,29.5319073084
5,Lyman Lake,57.3252199413,66.8304985337
5,Meadows Pass,10.7100719424,82.4899280576
5,Morse Lake,45.0887535145,72.7412560386
5,Moses Mountain,4.60316622691,21.2232189974
5,Mount Crag,18.3255189255,65.3937728938
5,Mount Gardner,4.55223021583,87.1001438849
5,Mowich,0.0207407407407,45.5648148148
5,Olallie Meadows,45.1840674789,103.949671978
5,Paradise ,69.9848172446,99.0866916589
5,Park Creek Ridge,25.6728682171,59.9377260982
5,Pigtail Peak,49.5407685098,72.1780693533
5,Pope Ridge,2.03373945642,30.4992277992
5,Potato Hill,7.12070098576,38.8789704272
5,Quartz Peak,7.12070098576,38.8789704272
5,Rex River,20.8916271722,92.6143759874
5,Salmon Meadows,0.648023143684,15.9258437801
